"csp","duree","oppo","age","sexe","interdit","cableue","assurvi","soldevu","eparlog","eparliv","credhab","credcon","versesp","retresp","remiche","preltre","prelfin","viredeb","virecre","porttit"
"inact","d24","non","ai35","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"emplo","dp12","non","ai45","fem","non","non","non","p2","nul","fai","non","nul","oui","fai","fai","nul","nul","fai","nul","nul"
"inact","d24","non","ai35","fem","non","oui","non","n1","nul","fai","non","nul","non","fai","moy","nul","nul","fai","fai","moy"
"etudi","d48","non","ai25","fem","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inter","d812","non","ai75","fem","non","non","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"etudi","d48","non","ai25","fem","non","oui","non","p3","nul","nul","non","nul","non","fai","moy","nul","nul","nul","nul","nul"
"emplo","d812","non","ai55","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","for","nul"
"etudi","d24","non","ai25","fem","non","oui","non","p2","nul","fai","non","nul","oui","fai","moy","nul","nul","nul","fai","nul"
"inter","d812","oui","ai45","fem","non","oui","non","n2","nul","fai","non","nul","non","fai","nul","fai","nul","fai","fai","moy"
"etudi","d24","non","ai25","fem","non","oui","non","p1","fai","nul","non","nul","oui","fai","fai","nul","nul","nul","fai","fai"
"etudi","d48","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","moy","fai","nul","nul","nul","fai","nul"
"etudi","d24","non","ai25","fem","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"emplo","dm2","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","moy","moy","nul","nul","nul","nul","nul"
"etudi","dm2","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"emplo","dm2","non","ai45","fem","non","non","non","n1","nul","nul","non","fai","non","fai","fai","nul","nul","nul","nul","nul"
"emplo","d812","non","ai35","fem","non","non","non","n1","nul","fai","non","fai","non","fai","fai","fai","nul","fai","nul","nul"
"etudi","d48","non","ai25","fem","non","oui","non","n1","fai","nul","non","nul","non","fai","fai","nul","nul","fai","fai","nul"
"etudi","d24","non","ai25","fem","non","oui","non","n1","nul","nul","non","fai","non","fai","fai","nul","nul","fai","fai","nul"
"emplo","d24","non","ai35","fem","non","non","non","p1","nul","nul","non","fai","oui","fai","nul","nul","nul","nul","nul","nul"
"etudi","d24","non","ai25","fem","non","oui","non","n1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"emplo","d48","non","ai25","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"emplo","d812","oui","ai45","fem","non","oui","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"inter","dp12","non","ai55","fem","non","non","non","p4","nul","nul","non","fai","non","moy","nul","nul","nul","fai","nul","nul"
"etudi","d24","non","ai25","fem","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"retra","dp12","non","ai75","fem","non","non","non","p2","nul","for","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"inact","d48","non","ai25","fem","non","oui","non","p2","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"inact","dm2","non","ai35","fem","non","oui","non","p2","fai","nul","non","for","non","fai","fai","nul","nul","for","for","nul"
"ouvri","d812","non","ai35","fem","non","non","non","p3","fai","nul","non","nul","non","fai","nul","nul","fai","fai","moy","nul"
"emplo","d24","non","ai35","fem","non","non","non","p1","nul","nul","non","nul","non","fai","moy","nul","nul","fai","nul","nul"
"etudi","dm2","non","ai25","fem","non","non","non","p1","nul","nul","non","fai","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","d48","oui","ai55","fem","non","oui","non","p1","nul","nul","non","nul","oui","fai","nul","nul","nul","fai","nul","nul"
"etudi","d24","non","ai25","fem","non","non","non","p1","nul","nul","non","for","non","fai","nul","nul","nul","nul","fai","fai"
"inter","d812","non","ai35","fem","non","oui","non","n1","nul","nul","non","fai","non","fai","nul","nul","nul","nul","moy","nul"
"emplo","d24","non","ai45","fem","non","oui","non","p1","for","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"etudi","d48","non","ai25","fem","non","oui","non","n1","nul","nul","non","nul","non","fai","for","nul","nul","fai","nul","nul"
"inter","dm2","non","ai45","fem","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"emplo","d24","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"emplo","d812","non","ai35","fem","non","oui","non","n1","nul","fai","non","nul","non","fai","nul","nul","fai","nul","moy","nul"
"etudi","d24","non","ai25","fem","non","oui","non","p1","nul","nul","non","nul","oui","fai","moy","nul","nul","nul","fai","nul"
"emplo","d24","non","ai35","fem","oui","non","non","p1","nul","fai","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"etudi","d48","non","ai25","fem","non","non","non","p1","nul","fai","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"etudi","d48","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inact","d24","non","ai25","fem","non","non","non","p1","nul","fai","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inact","dp12","non","ai75","fem","non","non","non","p2","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","for"
"emplo","d812","non","ai45","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"etudi","d48","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","fai","nul","fai","nul"
"inter","dp12","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"inter","d812","non","ai45","fem","non","non","oui","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","moy","nul"
"retra","d24","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"etudi","dm2","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"inact","dm2","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"emplo","dm2","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"inter","dp12","non","ai35","fem","non","non","non","p3","nul","nul","non","nul","non","fai","moy","nul","nul","nul","nul","nul"
"emplo","d48","non","ai35","fem","non","oui","non","n2","nul","nul","non","nul","non","fai","moy","fai","nul","nul","fai","nul"
"inter","dp12","non","ai35","fem","non","oui","non","n1","nul","fai","non","nul","non","fai","fai","moy","nul","fai","nul","nul"
"etudi","d24","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"inact","dm2","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"etudi","d24","non","ai25","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"emplo","d812","non","ai35","fem","oui","non","non","n1","nul","nul","non","nul","non","moy","fai","nul","fai","fai","nul","nul"
"inact","d24","non","ai25","fem","non","non","non","p2","fai","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"etudi","d48","non","ai25","fem","non","oui","non","p2","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"emplo","dp12","non","ai35","fem","non","non","non","n2","nul","fai","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inter","dp12","non","ai75","fem","non","non","non","p4","for","fai","non","nul","non","moy","fai","nul","nul","fai","for","moy"
"etudi","d48","non","ai35","fem","non","oui","non","p2","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"emplo","d48","non","ai35","fem","non","non","non","p2","for","fai","non","nul","non","fai","nul","nul","nul","nul","fai","fai"
"etudi","d48","non","ai25","fem","non","non","non","p1","nul","fai","non","nul","oui","fai","nul","nul","nul","nul","nul","fai"
"retra","dm2","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","non","moy","nul","nul","nul","nul","fai","nul"
"emplo","dp12","non","ai75","fem","non","non","oui","p4","for","for","non","nul","non","for","nul","nul","nul","nul","moy","nul"
"emplo","d24","non","ai25","fem","oui","non","oui","n1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"etudi","d48","non","ai25","fem","non","non","non","p2","nul","fai","non","fai","non","fai","nul","nul","nul","fai","moy","nul"
"inter","d812","non","ai55","fem","non","non","non","p1","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","fai","fai"
"inact","d812","non","ai45","fem","non","non","non","p2","nul","fai","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"inter","d812","non","ai35","fem","non","non","non","p2","nul","fai","non","fai","non","fai","nul","nul","nul","nul","nul","nul"
"etudi","d24","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"inter","dp12","non","ai45","fem","non","oui","non","p3","for","fai","non","nul","oui","fai","fai","nul","nul","fai","for","fai"
"etudi","d24","non","ai25","fem","non","oui","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"emplo","d48","non","ai25","fem","non","oui","non","n1","nul","nul","non","nul","non","fai","moy","nul","nul","fai","fai","nul"
"inter","d48","non","ai55","fem","non","non","non","p2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"etudi","d24","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"inter","d24","non","ai35","fem","non","oui","non","p2","for","fai","non","nul","non","fai","fai","nul","nul","nul","moy","nul"
"inter","d812","non","ai75","fem","non","oui","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","fai","moy","fai"
"inact","d48","non","ai45","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","fai","for"
"inter","dm2","non","ai45","fem","non","oui","non","p3","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"retra","d24","non","ai75","fem","non","oui","non","p2","nul","for","non","nul","non","fai","fai","nul","nul","fai","fai","for"
"emplo","dm2","non","ai45","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"inact","d812","non","ai75","fem","non","oui","non","p3","nul","nul","non","nul","oui","fai","moy","moy","nul","nul","for","moy"
"emplo","dp12","non","ai45","fem","non","oui","oui","n1","nul","nul","non","nul","non","fai","fai","nul","fai","fai","moy","nul"
"retra","d48","non","ai75","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"inact","d812","non","ai55","fem","non","non","non","p2","nul","for","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"inact","d48","non","ai75","fem","non","non","non","p2","nul","for","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"inact","dp12","non","ai75","fem","non","non","non","p4","for","fai","non","nul","non","fai","fai","nul","nul","nul","moy","for"
"ouvri","dp12","non","ai35","fem","non","non","oui","p3","for","nul","non","fai","non","fai","moy","nul","nul","nul","moy","nul"
"emplo","dp12","non","ai55","fem","non","non","non","p2","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"emplo","d48","non","ai45","fem","non","oui","non","n1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","moy","nul"
"emplo","d812","non","ai75","fem","non","oui","non","p3","nul","nul","non","nul","non","moy","moy","nul","nul","nul","nul","nul"
"inact","d48","non","ai55","fem","non","oui","non","p1","nul","fai","non","nul","non","fai","for","nul","nul","nul","nul","nul"
"agric","d48","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","fai","nul"
"cadsu","d48","non","ai55","fem","non","oui","non","p2","nul","fai","non","nul","non","fai","for","nul","nul","for","fai","nul"
"emplo","d48","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","fai","nul","nul"
"inact","dm2","non","ai45","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"inact","d48","non","ai55","fem","non","non","non","p2","nul","fai","non","nul","oui","moy","for","nul","nul","fai","nul","nul"
"emplo","d48","oui","ai75","fem","non","oui","non","p1","nul","nul","non","nul","non","fai","moy","nul","nul","nul","fai","for"
"inact","d48","non","ai55","fem","non","non","non","p4","nul","fai","non","nul","non","fai","fai","nul","moy","nul","nul","nul"
"cadsu","dp12","non","ai75","fem","non","non","non","p3","fai","nul","oui","nul","non","fai","for","nul","nul","for","for","nul"
"inact","dp12","oui","ai55","fem","non","oui","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inact","d24","non","ai75","fem","non","non","non","p4","for","fai","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"emplo","dp12","non","ai45","fem","non","non","non","p1","nul","nul","non","nul","non","moy","fai","nul","nul","nul","moy","nul"
"inact","d48","non","ai45","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inter","d812","non","ai35","fem","non","non","oui","p4","nul","fai","non","nul","non","fai","moy","nul","nul","fai","fai","fai"
"inact","d24","non","ai45","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","moy","nul"
"inter","dm2","non","ai35","fem","oui","non","non","p2","nul","nul","non","nul","non","for","nul","fai","nul","fai","moy","nul"
"retra","dp12","non","ai75","fem","non","non","oui","p2","nul","fai","non","nul","oui","fai","nul","nul","nul","nul","fai","nul"
"ouvri","dp12","non","ai75","fem","non","non","oui","p2","fai","nul","non","nul","non","fai","fai","nul","nul","nul","fai","nul"
"emplo","d48","non","ai35","fem","non","oui","non","p1","nul","nul","non","nul","oui","fai","moy","nul","moy","nul","fai","nul"
"emplo","d48","non","ai55","fem","non","oui","non","n2","nul","nul","non","nul","non","fai","for","nul","nul","nul","fai","nul"
"inact","dp12","non","ai55","fem","non","oui","oui","p3","fai","fai","non","nul","non","fai","moy","nul","nul","fai","nul","fai"
"artis","dp12","non","ai55","fem","non","non","oui","n2","nul","nul","oui","nul","non","fai","nul","nul","nul","moy","nul","nul"
"emplo","d48","non","ai35","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inact","dp12","non","ai45","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"emplo","dp12","non","ai75","fem","non","oui","non","p2","nul","fai","non","nul","non","fai","nul","nul","nul","moy","fai","nul"
"emplo","dp12","oui","ai55","fem","non","non","non","p2","for","fai","non","fai","non","fai","for","nul","fai","nul","fai","nul"
"artis","d812","non","ai75","fem","non","non","non","p4","nul","for","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"inact","d812","non","ai45","fem","non","oui","non","p1","nul","nul","non","fai","non","fai","moy","nul","nul","nul","moy","nul"
"emplo","dp12","non","ai55","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","fai"
"emplo","dp12","non","ai35","fem","non","oui","non","p2","nul","nul","oui","nul","oui","fai","fai","nul","nul","fai","moy","nul"
"inact","d812","non","ai55","fem","non","non","non","n2","nul","for","non","nul","oui","fai","for","nul","nul","nul","nul","nul"
"inact","d48","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"inact","d812","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"inter","d812","non","ai45","fem","non","non","non","p3","for","fai","non","nul","oui","fai","moy","nul","nul","nul","moy","nul"
"inter","d48","non","ai45","fem","non","oui","non","p3","nul","nul","non","fai","non","fai","for","fai","nul","fai","moy","nul"
"emplo","d48","non","ai75","fem","non","non","non","n1","nul","for","non","nul","non","moy","nul","nul","nul","fai","nul","fai"
"inter","dp12","non","ai45","fem","non","oui","non","p2","for","for","oui","nul","non","fai","for","nul","nul","fai","fai","fai"
"emplo","d48","non","ai45","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"emplo","d48","non","ai35","fem","non","oui","non","p2","fai","fai","non","nul","non","fai","fai","nul","nul","for","fai","nul"
"artis","d48","non","ai55","fem","non","non","oui","n1","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","fai","fai"
"emplo","d48","oui","ai45","fem","non","non","non","n1","nul","for","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"inact","d48","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","fai","fai","moy"
"inact","d24","non","ai35","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"inter","dp12","non","ai55","fem","non","oui","non","p3","nul","fai","non","nul","non","fai","nul","nul","fai","nul","moy","fai"
"inter","dp12","non","ai55","fem","non","oui","oui","p3","fai","fai","non","nul","non","fai","fai","fai","nul","fai","moy","moy"
"emplo","d48","non","ai45","fem","non","oui","non","p2","fai","fai","non","nul","non","fai","fai","nul","nul","moy","for","nul"
"emplo","d812","non","ai55","fem","non","non","non","p4","nul","for","non","nul","oui","fai","moy","nul","nul","nul","nul","nul"
"emplo","d48","non","ai55","fem","non","non","non","n2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"emplo","dp12","non","ai35","fem","oui","non","non","p2","nul","nul","non","nul","non","fai","nul","nul","fai","fai","moy","nul"
"inact","d48","non","ai75","fem","non","non","non","n1","nul","fai","non","nul","oui","fai","nul","nul","nul","nul","moy","fai"
"retra","d812","non","ai45","fem","non","non","oui","p2","for","nul","oui","nul","non","fai","nul","nul","nul","fai","moy","nul"
"inter","d812","non","ai45","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"emplo","d24","non","ai45","fem","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inact","dm2","non","ai55","fem","non","non","non","p3","nul","nul","non","nul","non","fai","for","nul","nul","fai","fai","nul"
"inter","d24","non","ai55","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"inact","dp12","non","ai45","fem","non","non","oui","p2","nul","nul","non","fai","non","for","nul","fai","nul","fai","moy","nul"
"inact","dp12","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","dp12","non","ai75","fem","non","non","non","p3","fai","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"cadsu","d24","non","ai75","fem","non","non","non","p3","nul","for","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","dm2","non","ai35","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","fai","nul"
"emplo","d812","non","ai35","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"inact","d24","non","ai35","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inact","dp12","non","ai45","fem","non","oui","non","p1","nul","nul","non","nul","oui","fai","nul","nul","nul","nul","fai","nul"
"inact","d24","non","ai55","fem","non","non","non","p1","nul","nul","non","nul","non","moy","nul","nul","nul","nul","moy","nul"
"agric","d24","non","ai45","fem","non","non","non","p1","nul","nul","non","nul","non","fai","moy","nul","nul","fai","for","nul"
"ouvri","d24","non","ai55","fem","non","non","non","p1","for","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"retra","d24","non","ai75","fem","non","non","oui","p1","nul","fai","oui","nul","non","fai","nul","nul","nul","fai","moy","fai"
"inact","d812","non","ai45","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"ouvri","d812","non","ai35","fem","non","non","non","p4","nul","nul","non","nul","non","fai","moy","nul","nul","moy","nul","nul"
"ouvri","d812","non","ai45","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"emplo","d48","non","ai55","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"cadsu","d48","non","ai55","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","fai","nul"
"ouvri","d812","non","ai75","fem","non","non","non","n1","nul","nul","non","nul","non","fai","moy","nul","nul","nul","fai","nul"
"emplo","dm2","non","ai75","fem","non","non","non","p1","for","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"inact","dp12","non","ai75","fem","non","non","oui","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","d24","non","ai35","fem","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"emplo","d812","non","ai55","fem","non","non","non","n2","nul","nul","non","fai","non","fai","nul","nul","nul","fai","fai","nul"
"agric","dp12","non","ai45","fem","non","non","non","p4","for","for","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"inact","dp12","non","ai55","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","fai","nul"
"etudi","dm2","non","ai45","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","for","nul","nul"
"inact","dm2","non","ai45","fem","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inact","d24","non","ai45","fem","non","non","non","n1","nul","fai","non","nul","oui","fai","nul","nul","nul","nul","moy","nul"
"emplo","dp12","non","ai75","fem","non","non","non","p1","nul","for","non","nul","non","fai","nul","nul","nul","fai","moy","nul"
"artis","d24","non","ai75","fem","non","non","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","fai","fai","nul"
"inter","d24","non","ai35","fem","non","non","non","p2","for","fai","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"emplo","dm2","non","ai35","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","fai","nul"
"emplo","dp12","non","ai45","fem","non","oui","oui","p3","nul","nul","non","nul","non","fai","for","nul","moy","fai","fai","nul"
"agric","dp12","non","ai55","fem","non","non","non","p1","for","for","oui","nul","non","fai","fai","nul","nul","fai","nul","nul"
"inact","d812","non","ai75","fem","non","non","non","p3","nul","nul","non","nul","non","fai","nul","fai","fai","fai","moy","moy"
"inter","d48","non","ai75","fem","non","non","non","p1","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","nul","nul"
"emplo","d48","non","ai55","fem","non","oui","non","n1","nul","fai","non","fai","non","fai","fai","nul","fai","nul","nul","nul"
"agric","dp12","non","ai75","fem","non","non","non","p4","for","for","non","for","non","fai","moy","nul","nul","fai","nul","moy"
"inter","d48","oui","ai45","fem","non","oui","oui","p2","nul","nul","non","fai","non","fai","fai","fai","nul","fai","for","nul"
"retra","dp12","non","ai75","fem","non","non","non","p2","nul","nul","non","nul","non","fai","nul","nul","fai","fai","moy","nul"
"emplo","d48","oui","ai55","fem","non","oui","non","p3","nul","nul","non","nul","non","fai","for","nul","nul","nul","nul","nul"
"emplo","d812","non","ai55","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","moy","fai"
"ouvri","d48","non","ai55","fem","oui","non","non","p1","nul","nul","non","fai","non","fai","fai","nul","nul","nul","nul","nul"
"inact","d812","non","ai45","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","d24","non","ai35","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inter","d48","non","ai35","fem","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"emplo","dm2","non","ai45","fem","oui","non","non","p1","nul","nul","non","nul","non","moy","fai","nul","nul","nul","nul","nul"
"inter","d48","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"artis","d812","non","ai55","fem","non","non","non","n2","nul","nul","non","for","non","fai","fai","nul","nul","moy","nul","nul"
"emplo","d812","non","ai35","fem","non","oui","non","p2","nul","for","non","nul","oui","fai","nul","nul","fai","for","for","moy"
"emplo","d812","non","ai35","fem","non","non","non","n2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
